Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MGB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
29,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
