Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MVA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MVA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MVA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MVA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MVA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MVA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MVA_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Built-up
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Built-up
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Built-up
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Water
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Water
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Cropland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Water
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
253,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
254,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
255,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
256,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Cropland
257,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Water
258,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
259,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
260,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
261,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
262,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Bareland
263,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Built-up
264,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
265,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
266,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Bareland
267,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
268,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
269,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
271,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
272,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
273,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
274,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
275,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Built-up,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
278,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Water
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
