Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NBL_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
48,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
50,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
51,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
52,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
53,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
54,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
56,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
57,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
58,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
59,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
60,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
61,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
62,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
63,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
67,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
69,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
72,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
73,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
74,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
75,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
76,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
77,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
78,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
79,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
80,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
81,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
82,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
83,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
84,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
85,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
86,NULL,NULL,Water,Water,Water,NULL,NULL,Water
87,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
88,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
89,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
91,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
94,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
96,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
97,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
98,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
99,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
102,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
103,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
104,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
105,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
113,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
116,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
117,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
120,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
121,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
123,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
125,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
127,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
128,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
129,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
130,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
131,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
132,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
133,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
134,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
136,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
138,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
139,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
140,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
141,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
142,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
143,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
144,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
145,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
146,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
147,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
148,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
149,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
150,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
151,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
152,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
154,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
155,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
158,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
160,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
161,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
163,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
164,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
165,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
166,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
167,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
168,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
169,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
170,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
171,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
172,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
173,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
174,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
175,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
176,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
178,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
179,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
180,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
181,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
184,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
185,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
186,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
187,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
192,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
193,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
194,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
195,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
196,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
197,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
198,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
199,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
201,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
202,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
203,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
204,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
205,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
206,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
208,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
209,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
210,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Water
211,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
213,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
214,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Wetland
215,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
216,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
217,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
218,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
219,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
220,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
221,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
222,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
223,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
224,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
225,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
226,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
227,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
228,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
229,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
230,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
231,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
232,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
233,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
234,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
235,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
236,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
237,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
238,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
239,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
240,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
241,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
242,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
244,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
245,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
246,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
247,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
248,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
249,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
250,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
251,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
252,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
254,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
255,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
256,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
257,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
258,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
259,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
260,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
261,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
262,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
263,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
264,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
265,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
266,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
267,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
268,NULL,Water,Water,NULL,Water,NULL,NULL,Water
269,NULL,Water,Water,Non_Water,Water,NULL,NULL,Wetland
270,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
271,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
272,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
273,NULL,Water,Water,Water,Water,NULL,NULL,Water
274,NULL,Water,Water,Water,Water,NULL,NULL,Forest
275,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
276,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
277,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
278,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
279,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
280,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
281,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
282,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
283,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
284,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
285,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
286,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
287,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
288,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
289,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
290,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
291,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
292,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
293,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
294,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
295,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
296,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
297,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
298,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
299,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
300,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
301,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
302,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
303,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
304,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
305,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
306,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
307,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
308,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
309,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
310,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
311,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
312,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
313,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
314,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Forest
315,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
316,NULL,Forest,Water,Water,Water,NULL,NULL,Water
317,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
318,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
319,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
320,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
321,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
322,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
323,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
324,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
325,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
326,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
327,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
328,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
329,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
330,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
331,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
332,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
333,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
334,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
335,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
336,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
337,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
338,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
339,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
340,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
341,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
342,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
