Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
35,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
50,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
51,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Bareland,Grassland
52,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
53,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
54,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
