Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LFF_M_R
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
42,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
43,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
44,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
45,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
46,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
47,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
48,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
49,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
50,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
51,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
52,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
53,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
54,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
55,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
56,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
59,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
61,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
62,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
69,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
74,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
75,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
76,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
77,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
78,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
79,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
80,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
81,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
82,NULL,NULL,Water,Water,Water,NULL,NULL,Water
83,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
85,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
87,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
88,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
89,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
91,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
93,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
94,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
95,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
96,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
97,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
98,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
99,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
100,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
106,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
108,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
110,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
111,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
112,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
114,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
115,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
116,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
119,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
123,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Forest
124,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
128,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
129,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
130,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
131,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
132,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
133,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
134,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,NULL
135,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
136,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
137,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
138,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
139,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
142,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
143,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
144,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
145,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
146,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
147,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
148,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
149,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
152,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
153,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
155,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
156,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
157,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
158,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
160,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
161,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
165,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
166,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
167,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
170,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
171,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
173,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
174,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
175,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
176,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
178,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
180,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
182,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
183,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
184,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
185,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
186,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
187,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
188,NULL,Water,Water,Water,Water,NULL,NULL,Water
189,NULL,Water,Water,Water,Water,NULL,NULL,Forest
190,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
192,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
193,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
194,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
195,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
197,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
199,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
201,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
204,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
206,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
208,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
209,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
210,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
211,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
212,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
213,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
214,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
215,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
216,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
217,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
218,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
220,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
222,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
223,NULL,Forest,Water,Water,Water,NULL,NULL,Water
224,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
225,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
227,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
228,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
229,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
230,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
231,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,NULL
232,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
233,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
234,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
235,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
236,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
237,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
238,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
239,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
240,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
241,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
242,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
243,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
244,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
245,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
246,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
247,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
248,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
249,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
250,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
251,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
252,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
253,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
254,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
255,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
256,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
257,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
258,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
259,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
260,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
261,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
262,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
263,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
264,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
265,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
266,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
267,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
268,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
269,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
270,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
271,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
272,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
273,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
274,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
275,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
276,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
277,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
278,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
279,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
280,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
281,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
282,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
283,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
284,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
285,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
286,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
287,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
288,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
289,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
290,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
291,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
292,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
293,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
294,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
295,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
296,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
297,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
298,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
299,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
300,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
301,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
302,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
303,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
304,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
305,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
306,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
307,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
308,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
309,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
310,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
311,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
312,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
313,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
314,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
315,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
316,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,NULL
317,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
318,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
319,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
320,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
321,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
322,Grassland,NULL,Water,Water,Water,NULL,NULL,NULL
323,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
324,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
325,Grassland,NULL,Water,Water,Water,NULL,NULL,Bareland
326,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
327,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
328,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
329,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
330,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
331,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
332,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
333,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
334,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
335,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
336,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
337,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
338,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
339,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
340,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
341,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
342,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
343,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
344,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
