Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
10,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
11,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
12,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
13,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Cropland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
23,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
24,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
25,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Water
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
30,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
31,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
32,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
33,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
34,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
35,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
36,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
37,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
38,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
39,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
40,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
41,NULL,NULL,Wetland,Water,Wetland,NULL,Water
42,NULL,NULL,Wetland,Water,Wetland,NULL,Forest
43,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
44,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
45,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
46,NULL,NULL,Water,NULL,Water,NULL,Grassland
47,NULL,NULL,Water,NULL,Water,NULL,Wetland
48,NULL,NULL,Water,NULL,Water,NULL,Water
49,NULL,NULL,Water,Non_Water,Water,NULL,Grassland
50,NULL,NULL,Water,Non_Water,Water,NULL,Water
51,NULL,NULL,Water,Water,Water,NULL,NULL
52,NULL,NULL,Water,Water,Water,NULL,Grassland
53,NULL,NULL,Water,Water,Water,NULL,Wetland
54,NULL,NULL,Water,Water,Water,NULL,Bareland
55,NULL,NULL,Water,Water,Water,NULL,Water
56,NULL,NULL,Water,Water,Water,NULL,Forest
57,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
60,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
61,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
63,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
64,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
65,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
66,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
67,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
68,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
69,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
71,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
72,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Cropland
73,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
74,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
75,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Cropland
76,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
77,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
78,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Cropland
79,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
80,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Grassland
81,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
82,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Bareland
83,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water
84,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
85,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
86,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Water
87,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
88,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Bareland
89,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Water
90,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Forest
91,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
92,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
93,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Bareland
94,NULL,Wetland,Wetland,NULL,Wetland,NULL,Water
95,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest
96,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Water
97,NULL,Wetland,Wetland,Water,Wetland,NULL,Wetland
98,NULL,Wetland,Wetland,Water,Wetland,NULL,Bareland
99,NULL,Wetland,Wetland,Water,Wetland,NULL,Water
100,NULL,Wetland,Wetland,Water,Wetland,NULL,Forest
101,NULL,Wetland,Water,NULL,Water,NULL,Water
102,NULL,Wetland,Water,NULL,Water,NULL,Forest
103,NULL,Wetland,Water,Water,Water,NULL,Water
104,NULL,Wetland,Water,Water,Water,NULL,Forest
