Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MPQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MPQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MPQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MPQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MPQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MPQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Water
24,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL
38,NULL,NULL,Grassland,Water,Non_Wetland,Water
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
40,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
44,NULL,NULL,Cropland,NULL,Non_Wetland,Water
45,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
50,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Water,Non_Wetland,Water
52,NULL,NULL,Cropland,Water,Non_Wetland,Forest
53,NULL,NULL,Wetland,NULL,Wetland,Forest
54,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
55,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
59,NULL,NULL,Bareland,NULL,Non_Wetland,Water
60,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
66,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
67,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
68,NULL,NULL,Bareland,Water,Non_Wetland,Water
69,NULL,NULL,Bareland,Water,Non_Wetland,Forest
70,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
71,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
73,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
75,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
76,NULL,NULL,Water,NULL,Water,NULL
77,NULL,NULL,Water,NULL,Water,Grassland
78,NULL,NULL,Water,NULL,Water,Bareland
79,NULL,NULL,Water,NULL,Water,Water
80,NULL,NULL,Water,NULL,Water,Forest
81,NULL,NULL,Water,Water,Water,Grassland
82,NULL,NULL,Water,Water,Water,Bareland
83,NULL,NULL,Water,Water,Water,Water
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL
85,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
86,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
87,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
88,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
89,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
90,NULL,NULL,Forest,NULL,Non_Wetland,Water
91,NULL,NULL,Forest,NULL,Non_Wetland,Forest
92,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
93,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
94,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
95,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
96,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
97,NULL,NULL,Forest,Water,Non_Wetland,Grassland
98,NULL,NULL,Forest,Water,Non_Wetland,Water
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
105,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
106,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
107,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
108,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
110,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
112,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
113,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
114,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
115,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
