Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MVR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
