Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
26,NULL,NULL,Shrubland,Water,Non_Wetland,Water
27,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
33,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
35,NULL,NULL,Grassland,NULL,Non_Wetland,Water
36,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL
43,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
45,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
46,NULL,NULL,Grassland,Water,Non_Wetland,Built-up
47,NULL,NULL,Grassland,Water,Non_Wetland,Forest
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
49,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
54,NULL,NULL,Cropland,NULL,Non_Wetland,Water
55,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL
62,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
63,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
64,NULL,NULL,Cropland,Water,Non_Wetland,Water
65,NULL,NULL,Cropland,Water,Non_Wetland,Forest
66,NULL,NULL,Wetland,NULL,Wetland,Grassland
67,NULL,NULL,Wetland,Water,Wetland,Forest
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
69,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
70,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
73,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
74,NULL,NULL,Bareland,NULL,Non_Wetland,Water
75,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
81,NULL,NULL,Bareland,Water,Non_Wetland,NULL
82,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
83,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
84,NULL,NULL,Bareland,Water,Non_Wetland,Water
85,NULL,NULL,Bareland,Water,Non_Wetland,Forest
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
87,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
91,NULL,NULL,Built-up,NULL,Non_Wetland,Water
92,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
95,NULL,NULL,Water,NULL,Water,NULL
96,NULL,NULL,Water,NULL,Water,Grassland
97,NULL,NULL,Water,NULL,Water,Bareland
98,NULL,NULL,Water,NULL,Water,Water
99,NULL,NULL,Water,NULL,Water,Forest
100,NULL,NULL,Water,Non_Water,Water,Water
101,NULL,NULL,Water,Water,Water,NULL
102,NULL,NULL,Water,Water,Water,Grassland
103,NULL,NULL,Water,Water,Water,Bareland
104,NULL,NULL,Water,Water,Water,Water
105,NULL,NULL,Water,Water,Water,Forest
106,NULL,NULL,Forest,NULL,Non_Wetland,NULL
107,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
108,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
109,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
110,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
111,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
112,NULL,NULL,Forest,NULL,Non_Wetland,Water
113,NULL,NULL,Forest,NULL,Non_Wetland,Forest
114,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
115,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
116,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
117,NULL,NULL,Forest,Water,Non_Wetland,NULL
118,NULL,NULL,Forest,Water,Non_Wetland,Grassland
119,NULL,NULL,Forest,Water,Non_Wetland,Bareland
120,NULL,NULL,Forest,Water,Non_Wetland,Forest
121,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
