Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LBF_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
41,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
49,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
57,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
59,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
64,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
65,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
80,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
81,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
82,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
83,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
84,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
85,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
87,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
89,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
95,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
96,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
97,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
98,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
99,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
104,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
107,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
111,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
112,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
114,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
119,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
120,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
121,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
122,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
123,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
124,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
125,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
126,NULL,NULL,Water,NULL,Water,NULL,NULL,Permanent_ice_and_snow
127,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
128,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
129,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
130,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
131,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
132,NULL,NULL,Water,Water,Water,NULL,NULL,Water
133,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
137,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
138,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
141,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
143,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
144,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
145,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
146,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
147,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
148,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
149,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
150,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
151,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
152,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
153,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
154,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
157,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
158,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
159,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
160,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
161,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
163,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
164,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
165,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
167,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
168,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
169,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
171,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
172,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
173,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
175,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
176,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
178,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
180,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
182,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
183,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
184,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
185,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
186,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
188,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
189,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
190,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
192,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
193,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
194,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
195,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
197,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
198,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
199,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
200,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
201,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
202,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
204,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
205,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
206,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
208,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
209,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
210,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
211,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
212,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
213,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
215,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
216,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
217,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
220,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
222,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
223,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
224,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
225,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
226,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
227,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
228,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
229,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
230,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
231,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
232,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
233,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
234,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
235,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
236,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
237,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
238,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
239,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
240,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
241,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
242,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
243,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
244,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
245,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
246,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
247,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
248,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
249,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
250,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
251,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
252,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
253,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
254,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
255,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
256,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
257,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
258,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
259,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
260,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
262,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
263,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
264,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
265,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
266,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
267,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
268,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
269,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
270,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
271,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
272,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
273,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
274,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
275,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
276,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
277,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
278,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
279,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
280,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
281,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
282,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
283,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
284,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
285,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
286,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
287,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
288,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
289,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
290,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
291,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
292,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
293,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
295,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
296,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
297,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
298,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
299,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
300,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
301,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
302,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
303,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
304,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Water
305,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
306,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
307,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
308,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
309,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
310,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
311,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
312,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
313,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
314,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
315,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
316,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
317,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
318,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
319,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
320,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
321,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
322,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
323,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
324,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
325,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
326,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
327,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
328,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Built-up
329,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
330,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
331,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
332,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
333,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
