Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MQN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
24,NULL,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,Water
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
41,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
46,NULL,NULL,Cropland,NULL,Non_Wetland,Water
47,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
53,NULL,NULL,Cropland,Water,Non_Wetland,NULL
54,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
55,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
56,NULL,NULL,Cropland,Water,Non_Wetland,Water
57,NULL,NULL,Cropland,Water,Non_Wetland,Forest
58,NULL,NULL,Wetland,NULL,Wetland,Grassland
59,NULL,NULL,Wetland,NULL,Wetland,Forest
60,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
61,NULL,NULL,Wetland,Water,Wetland,Grassland
62,NULL,NULL,Wetland,Water,Wetland,Cropland
63,NULL,NULL,Wetland,Water,Wetland,Water
64,NULL,NULL,Wetland,Water,Wetland,Forest
65,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
66,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
67,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
68,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
70,NULL,NULL,Bareland,NULL,Non_Wetland,Water
71,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
77,NULL,NULL,Bareland,Water,Non_Wetland,NULL
78,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
80,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
81,NULL,NULL,Bareland,Water,Non_Wetland,Water
82,NULL,NULL,Bareland,Water,Non_Wetland,Forest
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
84,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
85,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
88,NULL,NULL,Built-up,NULL,Non_Wetland,Water
89,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
90,NULL,NULL,Water,NULL,Water,NULL
91,NULL,NULL,Water,NULL,Water,Grassland
92,NULL,NULL,Water,NULL,Water,Cropland
93,NULL,NULL,Water,NULL,Water,Wetland
94,NULL,NULL,Water,NULL,Water,Bareland
95,NULL,NULL,Water,NULL,Water,Water
96,NULL,NULL,Water,NULL,Water,Forest
97,NULL,NULL,Water,Non_Water,Water,Bareland
98,NULL,NULL,Water,Non_Water,Water,Water
99,NULL,NULL,Water,Non_Water,Water,Forest
100,NULL,NULL,Water,Water,Water,Grassland
101,NULL,NULL,Water,Water,Water,Wetland
102,NULL,NULL,Water,Water,Water,Bareland
103,NULL,NULL,Water,Water,Water,Water
104,NULL,NULL,Water,Water,Water,Forest
105,NULL,NULL,Forest,NULL,Non_Wetland,NULL
106,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
107,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
108,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
109,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
110,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
111,NULL,NULL,Forest,NULL,Non_Wetland,Water
112,NULL,NULL,Forest,NULL,Non_Wetland,Forest
113,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
114,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
115,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
116,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
117,NULL,NULL,Forest,Water,Non_Wetland,Grassland
118,NULL,NULL,Forest,Water,Non_Wetland,Wetland
119,NULL,NULL,Forest,Water,Non_Wetland,Bareland
120,NULL,NULL,Forest,Water,Non_Wetland,Water
121,NULL,NULL,Forest,Water,Non_Wetland,Forest
122,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
