Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KDD_M_R
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
143,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
146,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
178,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
180,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
181,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
182,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Water
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
