Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MYD_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
12,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
14,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
15,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
17,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
18,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
19,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
20,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
21,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
22,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
23,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
24,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
25,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
26,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
27,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
28,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
29,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
30,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
31,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
32,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
34,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
36,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
37,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
38,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
40,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
41,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
42,NULL,Water,Water,Water,Water,NULL,NULL,Water
43,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
44,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
46,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
48,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
50,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
51,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
52,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
53,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
54,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
55,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
56,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
57,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
58,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
59,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
60,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
61,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
62,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
63,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
64,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
65,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
66,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
67,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
68,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
69,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
70,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
71,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
72,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
73,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
74,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
75,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
76,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
77,Bareland,Water,Water,Water,Water,NULL,NULL,Water
78,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
79,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
80,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
81,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
82,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
83,Water,Bareland,Water,Water,Water,NULL,NULL,Water
84,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
85,Water,Built-up,Water,Water,Water,NULL,NULL,Water
86,Water,Built-up,Water,Water,Water,NULL,NULL,Forest
87,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
88,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
89,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
90,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
91,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
92,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
93,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
94,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
95,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
96,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
97,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
98,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
99,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
100,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
101,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
102,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
103,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
104,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
105,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
106,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
107,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
108,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
109,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
110,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
111,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
112,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
113,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
114,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
115,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
116,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
117,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
118,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
