Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NWE_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
10,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
11,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
12,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
13,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
14,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
15,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
16,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
17,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
18,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
19,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
20,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
21,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
22,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
23,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
24,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
26,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
27,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
28,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
29,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
30,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
31,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
32,NULL,NULL,Water,Water,Water,NULL,NULL,Water
33,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
34,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
35,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
39,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
40,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
41,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
42,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
44,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
45,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
46,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
47,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
48,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
49,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
50,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
51,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
52,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
53,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
54,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
55,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
56,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
57,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
58,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
59,NULL,Water,Water,NULL,Water,NULL,NULL,Water
60,NULL,Water,Water,Non_Water,Water,NULL,NULL,Bareland
61,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
62,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
63,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
64,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
65,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
66,NULL,Water,Water,Water,Water,NULL,NULL,Water
67,NULL,Water,Water,Water,Water,NULL,NULL,Forest
68,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
69,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
70,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
72,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
73,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
74,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
75,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
77,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
78,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
79,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
80,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
81,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
82,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
83,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
84,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
85,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
86,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
87,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
88,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
89,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
90,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
91,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
92,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
93,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
94,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
95,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
96,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
97,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
98,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
99,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
100,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
101,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
102,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
103,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
104,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
105,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
106,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
107,Wetland,NULL,Water,Water,Water,NULL,NULL,Bareland
108,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
109,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
110,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
111,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
112,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
113,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
114,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
115,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Bareland
116,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
117,Wetland,Wetland,Water,Water,Water,NULL,NULL,Bareland
118,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
119,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
120,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
