Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LLL_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
71,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
75,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
76,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
77,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
82,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
83,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
84,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Built-up
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
86,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
88,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
89,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
90,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
91,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
92,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
93,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
94,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
99,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
100,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
101,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
102,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
104,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
106,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
107,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
111,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
113,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
117,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
120,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
121,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
122,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
123,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
124,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
125,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
126,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
127,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
128,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
129,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
130,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
131,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
132,NULL,NULL,Water,Water,Water,NULL,NULL,Water
133,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
137,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
138,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
141,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
143,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
145,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
146,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
147,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
148,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
150,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
151,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
152,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
154,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
157,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
160,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
162,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
164,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
165,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
167,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
171,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
173,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
174,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
175,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
176,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
179,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
180,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
187,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
189,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
191,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
192,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
193,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
194,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
195,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
196,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
198,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
200,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
201,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
202,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
203,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
204,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
205,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
208,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
209,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
210,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
211,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
212,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
213,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
214,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
215,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
216,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
217,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
218,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
219,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
220,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
221,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
222,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
223,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
226,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
227,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
228,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
229,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
230,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
231,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
232,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
233,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
234,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
235,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
236,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
237,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
238,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
239,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
242,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
243,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
244,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
245,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
246,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
247,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
248,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
249,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
250,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
251,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
252,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
253,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
254,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
255,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
256,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
257,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
259,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
260,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
262,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
263,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
264,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
265,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
267,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
268,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
269,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
270,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
271,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
272,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
273,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
274,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
275,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
276,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
277,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
278,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
279,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
280,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
281,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
282,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
283,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
284,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
285,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
286,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
287,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
289,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
290,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
291,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
292,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
294,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
295,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
296,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
297,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
298,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
299,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
300,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
301,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
302,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
303,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
304,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
305,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
306,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
307,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
308,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
309,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
310,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
311,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
312,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
313,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
314,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
315,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
316,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
317,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
318,NULL,Water,Water,Non_Water,Water,NULL,NULL,Wetland
319,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
320,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
321,NULL,Water,Water,Water,Water,NULL,NULL,Water
322,NULL,Water,Water,Water,Water,NULL,NULL,Forest
323,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
324,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
325,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
326,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
327,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
328,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
329,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
330,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
331,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
332,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
333,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
334,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
335,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
336,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
337,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
338,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
339,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
340,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
341,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
342,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
