Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NDD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
8,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
10,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
18,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
20,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
23,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
24,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
25,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
26,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
27,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
28,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
29,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
30,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
31,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
