Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LUD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Forest,Forest
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
155,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Built-up
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
