Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Water
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Water
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
87,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
128,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
220,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
221,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
224,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Water
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Water
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
260,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
273,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Wetland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Cropland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Water
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Cropland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
