Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Bareland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
15,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
18,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
19,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
20,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
21,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
22,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
24,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
25,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
26,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
27,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
28,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
29,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
30,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
31,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
32,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
33,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
34,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
35,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
36,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
37,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
38,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
39,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
40,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
41,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
42,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
43,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
44,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
45,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
