Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTL_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Wetland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
217,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
219,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
220,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
221,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
222,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
223,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
224,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
225,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
227,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
228,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
229,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Cropland
230,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Wetland
231,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Bareland
232,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Forest
233,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
234,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
235,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
236,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Forest
237,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
239,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
240,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
241,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
242,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
243,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
244,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
245,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
246,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
