Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZD_M_R
0,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
2,NULL,Water,Water,Water,Water,NULL,NULL,Water
3,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
5,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
6,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
7,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
8,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
9,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
10,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
11,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
12,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
13,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
14,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
15,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
16,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
17,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
18,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
19,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
20,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
21,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
22,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
23,Bareland,Water,Water,Water,Water,NULL,NULL,Water
24,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
25,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
26,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
