Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LEP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
158,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Wetland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Wetland
213,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
215,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
216,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
217,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
218,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,NULL
219,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
220,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
221,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Forest
222,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Grassland
223,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Wetland
224,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
225,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Forest
227,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
229,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Wetland
230,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Water,Grassland
231,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Wetland
233,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
235,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
236,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
237,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
238,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
239,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
240,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
241,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
242,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
243,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
244,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
245,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
246,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
247,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Forest
248,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
