Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NFG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NFG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NFG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NFG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NFG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NFG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
13,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
14,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
15,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
16,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Water,Wetland
17,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Water,Water
18,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Wetland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Cropland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Wetland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
52,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
53,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
54,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
55,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
56,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
57,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Water,Wetland
58,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
59,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
60,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
61,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
62,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
63,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
64,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
65,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
66,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
67,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
68,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
69,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
70,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
71,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Water
72,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
73,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
74,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
75,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
76,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
77,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
78,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
80,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
81,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Wetland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Cropland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
86,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
87,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
90,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
91,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
92,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
93,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
94,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
95,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
96,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Cropland
97,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
98,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
99,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
100,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
101,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
102,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
103,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
104,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
105,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
106,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
107,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
108,NULL,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Forest
109,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
110,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Cropland
111,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Wetland
112,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Forest
113,NULL,NULL,Wetland,NULL,Wetland,Cropland,Water,Wetland
114,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
115,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
116,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
117,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
118,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Cropland
119,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
120,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
121,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
122,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
123,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
124,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
125,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Bareland
126,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
127,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
