Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LEN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
124,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
141,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
143,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
147,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Cropland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
213,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
215,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
216,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
217,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
218,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
219,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,NULL
220,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
221,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
222,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Grassland
223,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Forest
224,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
225,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
227,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
228,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
229,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
230,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Wetland
231,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
232,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
233,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
234,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
235,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
236,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
237,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
238,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
239,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Forest
240,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
241,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
242,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
243,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
244,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
245,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
246,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
247,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Forest
248,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Grassland
249,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Wetland
250,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Forest
251,NULL,NULL,NULL,Water,Non_Wetland,Forest,Wetland,Grassland
252,NULL,NULL,NULL,Water,Non_Wetland,Forest,Wetland,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
