Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MZV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MZV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MZV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
156,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Bareland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Built-up
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Built-up
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,Built-up
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
198,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
199,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
200,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
201,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Built-up
202,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
203,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
204,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
205,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,NULL
206,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
207,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
208,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
209,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Bareland
210,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
211,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
212,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Bareland
213,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
214,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
215,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
216,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Grassland
217,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Bareland,Bareland
218,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
219,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
220,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
221,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Water,Bareland
222,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
223,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
