Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LPP_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
77,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
159,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
160,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
161,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
162,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
163,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
170,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
171,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
172,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
173,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
174,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
175,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Water
176,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
177,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
178,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
179,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
180,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
181,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Water
182,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
183,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
184,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
185,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
195,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
196,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
198,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
199,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Cropland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Bareland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
221,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
223,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
227,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
229,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
231,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
233,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
236,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
239,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
240,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
244,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
245,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
247,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
248,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Cropland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
252,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
253,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Cropland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
257,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Bareland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
264,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Cropland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
270,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
275,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
279,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
282,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
283,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
284,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
285,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
286,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
287,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
288,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
289,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
290,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
291,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
292,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
293,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
294,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
295,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
296,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
297,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
298,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
299,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
300,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Forest
301,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Bareland
302,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
303,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
306,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
308,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Forest
309,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
310,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
311,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
313,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
314,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
315,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
316,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
320,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
321,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
