Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MWN_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,Forest
83,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
86,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Bareland
87,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
88,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
89,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
90,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
91,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
92,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
145,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
146,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
153,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
154,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
155,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
156,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
157,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
159,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
160,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
166,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
171,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
174,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
175,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
176,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
177,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
180,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
181,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
182,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
185,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
189,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
193,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
195,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
196,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
197,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
198,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
199,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
200,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
201,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
202,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
203,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Water
204,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
205,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,Grassland,Forest
206,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
207,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
208,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
209,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
210,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
211,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
212,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
213,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
214,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
218,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
219,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
220,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
222,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
223,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
224,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
225,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
226,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
228,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
229,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
231,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
233,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
234,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
235,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
236,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
237,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
238,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
239,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
240,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
241,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
242,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
245,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
247,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
250,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
251,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
254,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,Forest
255,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
256,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
257,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
258,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
259,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
260,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
261,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
262,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
263,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
264,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Water
265,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
266,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
267,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Forest,Bareland
268,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
269,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
270,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
271,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
272,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
273,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Forest
274,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Forest
275,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,Grassland
276,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
277,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
279,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
280,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
281,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
282,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
283,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
284,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
285,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
286,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
287,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
288,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,NULL
289,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
290,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Wetland
291,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
292,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
293,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
294,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
295,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
296,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
297,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Bareland
298,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
299,NULL,NULL,Wetland,NULL,Wetland,Forest,Bareland,Forest
300,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
301,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Forest
302,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
303,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
304,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
305,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
306,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
307,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Forest
308,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
309,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Water
310,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Bareland
311,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
312,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
313,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
314,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
315,NULL,NULL,Wetland,Water,Wetland,Bareland,Forest,Water
316,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
317,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
318,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
319,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Forest
320,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
321,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Built-up
322,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
323,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Bareland
