Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PPR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PPR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PPR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PPR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PPR_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
8,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
11,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
12,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
13,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
14,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
17,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
19,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
20,NULL,NULL,Wetland,NULL,Wetland,NULL
21,NULL,NULL,Wetland,NULL,Wetland,Grassland
22,NULL,NULL,Wetland,NULL,Wetland,Wetland
23,NULL,NULL,Wetland,NULL,Wetland,Built-up
24,NULL,NULL,Wetland,NULL,Wetland,Forest
25,NULL,NULL,Wetland,Non_Water,Wetland,NULL
26,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
27,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
28,NULL,NULL,Wetland,Non_Water,Wetland,Forest
29,NULL,NULL,Wetland,Water,Wetland,Grassland
30,NULL,NULL,Wetland,Water,Wetland,Wetland
31,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
33,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
34,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
35,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
36,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
37,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
38,NULL,NULL,Water,NULL,Water,Grassland
39,NULL,NULL,Water,NULL,Water,Wetland
40,NULL,NULL,Water,Non_Water,Water,Grassland
41,NULL,NULL,Water,Non_Water,Water,Wetland
42,NULL,NULL,Water,Water,Water,Grassland
43,NULL,NULL,Water,Water,Water,Wetland
44,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
45,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
46,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
47,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
48,NULL,NULL,Forest,NULL,Non_Wetland,Forest
49,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
51,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
52,NULL,NULL,Forest,Water,Non_Wetland,Grassland
53,NULL,NULL,Forest,Water,Non_Wetland,Wetland
54,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
55,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
56,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
57,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
58,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
59,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
60,NULL,Cropland,Wetland,NULL,Wetland,Grassland
61,NULL,Cropland,Wetland,NULL,Wetland,Wetland
62,NULL,Cropland,Wetland,NULL,Wetland,Forest
63,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
64,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
65,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
66,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
68,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
69,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
70,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
71,NULL,Wetland,Wetland,NULL,Wetland,Grassland
72,NULL,Wetland,Wetland,NULL,Wetland,Wetland
73,NULL,Wetland,Wetland,NULL,Wetland,Forest
74,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
75,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
76,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
77,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
78,NULL,Wetland,Wetland,Water,Wetland,Grassland
79,NULL,Wetland,Wetland,Water,Wetland,Wetland
80,NULL,Wetland,Water,Non_Water,Water,Grassland
81,NULL,Wetland,Water,Non_Water,Water,Wetland
82,NULL,Wetland,Water,Water,Water,Grassland
83,NULL,Wetland,Water,Water,Water,Wetland
84,NULL,Wetland,Water,Water,Water,Water
85,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
86,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
87,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
88,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
89,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
90,NULL,Bareland,Wetland,NULL,Wetland,Bareland
91,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
92,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
93,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
94,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
95,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
96,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
97,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
98,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
99,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
100,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
101,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
102,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
103,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
104,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
105,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
106,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
107,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
108,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
109,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
110,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
111,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
112,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
113,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
114,NULL,Built-up,Wetland,NULL,Wetland,Grassland
115,NULL,Built-up,Wetland,NULL,Wetland,Wetland
116,NULL,Built-up,Wetland,NULL,Wetland,Built-up
117,NULL,Built-up,Wetland,NULL,Wetland,Water
118,NULL,Built-up,Wetland,NULL,Wetland,Forest
119,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
120,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
121,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
122,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
123,NULL,Built-up,Wetland,Water,Wetland,Grassland
124,NULL,Built-up,Wetland,Water,Wetland,Wetland
125,NULL,Built-up,Wetland,Water,Wetland,Bareland
126,NULL,Built-up,Wetland,Water,Wetland,Built-up
127,NULL,Built-up,Wetland,Water,Wetland,Water
128,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
129,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
130,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
131,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
132,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
133,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
134,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
135,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
136,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
137,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
138,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
139,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
140,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
141,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
142,NULL,Built-up,Built-up,Water,Non_Wetland,Water
143,NULL,Built-up,Water,Non_Water,Water,Grassland
144,NULL,Built-up,Water,Non_Water,Water,Wetland
145,NULL,Built-up,Water,Non_Water,Water,Water
146,NULL,Built-up,Water,Non_Water,Water,Forest
147,NULL,Built-up,Water,Water,Water,Grassland
148,NULL,Built-up,Water,Water,Water,Built-up
149,NULL,Built-up,Water,Water,Water,Water
150,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
151,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
152,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
153,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
154,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
155,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
156,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
157,NULL,Built-up,Forest,Water,Non_Wetland,Wetland
158,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
159,NULL,Water,Shrubland,Non_Water,Non_Wetland,Built-up
160,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
161,NULL,Water,Wetland,NULL,Wetland,Grassland
162,NULL,Water,Wetland,NULL,Wetland,Wetland
163,NULL,Water,Wetland,NULL,Wetland,Water
164,NULL,Water,Wetland,NULL,Wetland,Forest
165,NULL,Water,Wetland,Non_Water,Wetland,Wetland
166,NULL,Water,Wetland,Non_Water,Wetland,Water
167,NULL,Water,Wetland,Non_Water,Wetland,Forest
168,NULL,Water,Wetland,Water,Wetland,Grassland
169,NULL,Water,Wetland,Water,Wetland,Wetland
170,NULL,Water,Wetland,Water,Wetland,Water
171,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
172,NULL,Water,Built-up,NULL,Non_Wetland,Wetland
173,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
174,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
175,NULL,Water,Built-up,Water,Non_Wetland,Water
176,NULL,Water,Water,NULL,Water,Wetland
177,NULL,Water,Water,NULL,Water,Water
178,NULL,Water,Water,Non_Water,Water,Wetland
179,NULL,Water,Water,Non_Water,Water,Water
180,NULL,Water,Water,Water,Water,Wetland
181,NULL,Water,Water,Water,Water,Water
182,NULL,Water,Water,Water,Water,Forest
183,NULL,Water,Forest,NULL,Non_Wetland,Water
184,NULL,Water,Forest,NULL,Non_Wetland,Forest
185,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland
186,NULL,Water,Forest,Non_Water,Non_Wetland,Water
187,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
188,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
189,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
190,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
191,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
192,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
193,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
194,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
195,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
196,NULL,Forest,Grassland,Non_Water,Non_Wetland,Wetland
197,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
198,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
199,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
200,NULL,Forest,Wetland,NULL,Wetland,NULL
201,NULL,Forest,Wetland,NULL,Wetland,Grassland
202,NULL,Forest,Wetland,NULL,Wetland,Wetland
203,NULL,Forest,Wetland,NULL,Wetland,Bareland
204,NULL,Forest,Wetland,NULL,Wetland,Built-up
205,NULL,Forest,Wetland,NULL,Wetland,Forest
206,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
207,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
208,NULL,Forest,Wetland,Non_Water,Wetland,Water
209,NULL,Forest,Wetland,Non_Water,Wetland,Forest
210,NULL,Forest,Wetland,Water,Wetland,Grassland
211,NULL,Forest,Wetland,Water,Wetland,Wetland
212,NULL,Forest,Wetland,Water,Wetland,Forest
213,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
214,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
215,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
216,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
217,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
218,NULL,Forest,Built-up,Non_Water,Non_Wetland,Built-up
219,NULL,Forest,Water,NULL,Water,Grassland
220,NULL,Forest,Water,NULL,Water,Wetland
221,NULL,Forest,Water,NULL,Water,Forest
222,NULL,Forest,Water,Water,Water,Grassland
223,NULL,Forest,Water,Water,Water,Wetland
224,NULL,Forest,Water,Water,Water,Water
225,NULL,Forest,Forest,NULL,Non_Wetland,NULL
226,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
227,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
228,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
229,NULL,Forest,Forest,NULL,Non_Wetland,Water
230,NULL,Forest,Forest,NULL,Non_Wetland,Forest
231,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
232,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
233,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
234,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
235,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
236,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
237,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
238,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
239,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
240,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
241,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
242,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
243,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
244,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
245,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
246,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
247,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
248,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
249,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
250,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
251,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
252,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
253,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
254,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
255,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
256,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
257,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
258,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
259,Grassland,NULL,Wetland,NULL,Wetland,NULL
260,Grassland,NULL,Wetland,NULL,Wetland,Grassland
261,Grassland,NULL,Wetland,NULL,Wetland,Cropland
262,Grassland,NULL,Wetland,NULL,Wetland,Wetland
263,Grassland,NULL,Wetland,NULL,Wetland,Built-up
264,Grassland,NULL,Wetland,NULL,Wetland,Forest
265,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
266,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
267,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
268,Grassland,NULL,Wetland,Non_Water,Wetland,Water
269,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
270,Grassland,NULL,Wetland,Water,Wetland,NULL
271,Grassland,NULL,Wetland,Water,Wetland,Grassland
272,Grassland,NULL,Wetland,Water,Wetland,Wetland
273,Grassland,NULL,Wetland,Water,Wetland,Water
274,Grassland,NULL,Wetland,Water,Wetland,Forest
275,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
276,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
277,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
278,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
279,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
280,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
281,Grassland,NULL,Water,NULL,Water,Grassland
282,Grassland,NULL,Water,NULL,Water,Wetland
283,Grassland,NULL,Water,Non_Water,Water,Grassland
284,Grassland,NULL,Water,Non_Water,Water,Wetland
285,Grassland,NULL,Water,Non_Water,Water,Water
286,Grassland,NULL,Water,Water,Water,Grassland
287,Grassland,NULL,Water,Water,Water,Wetland
288,Grassland,NULL,Water,Water,Water,Water
289,Grassland,NULL,Water,Water,Water,Forest
290,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
291,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
292,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
