Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NTH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,NULL,Water,Non_Wetland,Bareland
13,NULL,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,Water
37,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
42,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,Water
44,NULL,NULL,Grassland,Water,Non_Wetland,Forest
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
46,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Water
49,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
52,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
53,NULL,NULL,Cropland,Water,Non_Wetland,Water
54,NULL,NULL,Wetland,NULL,Wetland,Grassland
55,NULL,NULL,Wetland,NULL,Wetland,Water
56,NULL,NULL,Wetland,NULL,Wetland,Forest
57,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
58,NULL,NULL,Wetland,Non_Water,Wetland,Water
59,NULL,NULL,Wetland,Non_Water,Wetland,Forest
60,NULL,NULL,Wetland,Water,Wetland,Grassland
61,NULL,NULL,Wetland,Water,Wetland,Bareland
62,NULL,NULL,Wetland,Water,Wetland,Water
63,NULL,NULL,Wetland,Water,Wetland,Forest
64,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
65,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
69,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
70,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
71,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
73,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
74,NULL,NULL,Built-up,NULL,Non_Wetland,Water
75,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
76,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
78,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
79,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
80,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
81,NULL,NULL,Built-up,Water,Non_Wetland,Water
82,NULL,NULL,Built-up,Water,Non_Wetland,Forest
83,NULL,NULL,Water,NULL,Water,Grassland
84,NULL,NULL,Water,NULL,Water,Bareland
85,NULL,NULL,Water,NULL,Water,Water
86,NULL,NULL,Water,NULL,Water,Forest
87,NULL,NULL,Water,Non_Water,Water,Grassland
88,NULL,NULL,Water,Non_Water,Water,Bareland
89,NULL,NULL,Water,Non_Water,Water,Water
90,NULL,NULL,Water,Non_Water,Water,Forest
91,NULL,NULL,Water,Water,Water,Grassland
92,NULL,NULL,Water,Water,Water,Bareland
93,NULL,NULL,Water,Water,Water,Water
94,NULL,NULL,Water,Water,Water,Forest
95,NULL,NULL,Forest,NULL,Non_Wetland,NULL
96,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
97,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
98,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
99,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
100,NULL,NULL,Forest,NULL,Non_Wetland,Water
101,NULL,NULL,Forest,NULL,Non_Wetland,Forest
102,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
103,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
104,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up
105,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
106,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
107,NULL,NULL,Forest,Water,Non_Wetland,Grassland
108,NULL,NULL,Forest,Water,Non_Wetland,Bareland
109,NULL,NULL,Forest,Water,Non_Wetland,Water
110,NULL,NULL,Forest,Water,Non_Wetland,Forest
111,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
112,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
119,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
120,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
121,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
122,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
