Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LXH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
