Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
172,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Built-up
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Built-up
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Water,Built-up
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,Bareland
214,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
216,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
217,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
218,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
219,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
220,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
221,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
222,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
223,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
224,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
225,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
227,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
228,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
229,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
230,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
231,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
233,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
234,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
235,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
236,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
237,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Grassland
238,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
