Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LVG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
