Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NYD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
16,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
17,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
18,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
19,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
20,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
21,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
23,NULL,NULL,Water,Water,Water,NULL,NULL,Water
24,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
25,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
27,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
28,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
29,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
32,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
33,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
35,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
36,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
37,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
38,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
39,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
40,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
41,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
42,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
43,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
44,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
47,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
48,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
50,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
52,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
