Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LUG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Water
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Bareland
138,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
139,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
318,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
320,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
321,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
