Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Forest
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,Water,Non_Wetland,Water
12,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Grassland,NULL,Non_Wetland,Water
17,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
19,NULL,NULL,Grassland,Water,Non_Wetland,Water
20,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Cropland,NULL,Non_Wetland,Water
23,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
24,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
26,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
27,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
28,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
29,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
30,NULL,NULL,Cropland,Water,Non_Wetland,Water
31,NULL,NULL,Cropland,Water,Non_Wetland,Forest
32,NULL,NULL,Wetland,NULL,Wetland,Forest
33,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
34,NULL,NULL,Wetland,Non_Water,Wetland,Water
35,NULL,NULL,Wetland,Non_Water,Wetland,Forest
36,NULL,NULL,Wetland,Water,Wetland,Grassland
37,NULL,NULL,Wetland,Water,Wetland,Water
38,NULL,NULL,Wetland,Water,Wetland,Forest
39,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
41,NULL,NULL,Bareland,NULL,Non_Wetland,Water
42,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
43,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
45,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
46,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
47,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
48,NULL,NULL,Bareland,Water,Non_Wetland,Water
49,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
51,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
52,NULL,NULL,Water,Non_Water,Water,Grassland
53,NULL,NULL,Water,Non_Water,Water,Bareland
54,NULL,NULL,Water,Non_Water,Water,Water
55,NULL,NULL,Water,Water,Water,Bareland
56,NULL,NULL,Water,Water,Water,Water
57,NULL,NULL,Water,Water,Water,Forest
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
61,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
62,NULL,NULL,Forest,NULL,Non_Wetland,Water
63,NULL,NULL,Forest,NULL,Non_Wetland,Forest
64,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
65,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
66,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
67,NULL,NULL,Forest,Water,Non_Wetland,Water
68,NULL,NULL,Forest,Water,Non_Wetland,Forest
69,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
70,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
71,NULL,Bareland,NULL,NULL,Non_Wetland,Water
72,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
73,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
74,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
75,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
76,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
77,NULL,Bareland,Grassland,Water,Non_Wetland,Water
78,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
79,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
80,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
81,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
82,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Water
83,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
84,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
85,NULL,Bareland,Cropland,Water,Non_Wetland,Water
86,NULL,Bareland,Wetland,NULL,Wetland,Water
87,NULL,Bareland,Wetland,NULL,Wetland,Forest
88,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
89,NULL,Bareland,Wetland,Non_Water,Wetland,Cropland
90,NULL,Bareland,Wetland,Non_Water,Wetland,Water
91,NULL,Bareland,Wetland,Water,Wetland,Bareland
92,NULL,Bareland,Wetland,Water,Wetland,Water
93,NULL,Bareland,Wetland,Water,Wetland,Forest
94,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
95,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
96,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
97,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
98,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
99,NULL,Bareland,Bareland,Water,Non_Wetland,Water
100,NULL,Bareland,Built-up,Water,Non_Wetland,Water
101,NULL,Bareland,Water,Non_Water,Water,Bareland
102,NULL,Bareland,Water,Water,Water,Bareland
103,NULL,Bareland,Water,Water,Water,Water
104,NULL,Bareland,Water,Water,Water,Forest
105,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
106,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
107,NULL,Bareland,Forest,NULL,Non_Wetland,Water
108,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
109,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
110,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
111,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
112,NULL,Bareland,Forest,Water,Non_Wetland,Water
113,NULL,Built-up,NULL,NULL,Non_Wetland,Water
114,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
118,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
119,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
120,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
121,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
122,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
123,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
124,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
125,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
126,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
127,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
128,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
129,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
130,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
131,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
132,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
133,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
134,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
135,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
136,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
137,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
138,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
139,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
140,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
141,NULL,Built-up,Wetland,NULL,Wetland,Forest
142,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
143,NULL,Built-up,Wetland,Water,Wetland,Bareland
144,NULL,Built-up,Wetland,Water,Wetland,Built-up
145,NULL,Built-up,Wetland,Water,Wetland,Water
146,NULL,Built-up,Wetland,Water,Wetland,Forest
147,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
148,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
149,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
150,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
151,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
152,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
153,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
154,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
155,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
156,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
157,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
158,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
159,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
160,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
161,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
162,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
163,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
164,NULL,Built-up,Built-up,Water,Non_Wetland,Water
165,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
166,NULL,Built-up,Water,NULL,Water,Grassland
167,NULL,Built-up,Water,NULL,Water,Bareland
168,NULL,Built-up,Water,NULL,Water,Water
169,NULL,Built-up,Water,Water,Water,Water
170,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
171,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
172,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
173,NULL,Built-up,Forest,NULL,Non_Wetland,Water
174,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
175,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
176,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
177,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
178,NULL,Built-up,Forest,Water,Non_Wetland,Water
179,NULL,Built-up,Forest,Water,Non_Wetland,Forest
180,NULL,Water,NULL,Water,Non_Wetland,Water
181,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
182,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
183,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
184,NULL,Water,Shrubland,NULL,Non_Wetland,Water
185,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
186,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
187,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
188,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
189,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
190,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
191,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
192,NULL,Water,Shrubland,Water,Non_Wetland,Water
193,NULL,Water,Shrubland,Water,Non_Wetland,Forest
194,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
195,NULL,Water,Grassland,NULL,Non_Wetland,Forest
196,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
197,NULL,Water,Grassland,Water,Non_Wetland,Water
198,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
199,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
200,NULL,Water,Cropland,NULL,Non_Wetland,Water
201,NULL,Water,Cropland,NULL,Non_Wetland,Forest
202,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
203,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
204,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
205,NULL,Water,Cropland,Water,Non_Wetland,Grassland
206,NULL,Water,Cropland,Water,Non_Wetland,Bareland
207,NULL,Water,Cropland,Water,Non_Wetland,Water
208,NULL,Water,Wetland,NULL,Wetland,Bareland
209,NULL,Water,Wetland,NULL,Wetland,Water
210,NULL,Water,Wetland,NULL,Wetland,Forest
211,NULL,Water,Wetland,Non_Water,Wetland,Grassland
212,NULL,Water,Wetland,Non_Water,Wetland,Water
213,NULL,Water,Wetland,Non_Water,Wetland,Forest
214,NULL,Water,Wetland,Water,Wetland,Bareland
215,NULL,Water,Wetland,Water,Wetland,Water
216,NULL,Water,Wetland,Water,Wetland,Forest
217,NULL,Water,Bareland,NULL,Non_Wetland,Forest
218,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
219,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
220,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
221,NULL,Water,Bareland,Water,Non_Wetland,Grassland
222,NULL,Water,Bareland,Water,Non_Wetland,Water
223,NULL,Water,Water,NULL,Water,Water
224,NULL,Water,Water,NULL,Water,Forest
225,NULL,Water,Water,Non_Water,Water,Grassland
226,NULL,Water,Water,Non_Water,Water,Bareland
227,NULL,Water,Water,Non_Water,Water,Water
228,NULL,Water,Water,Water,Water,Bareland
229,NULL,Water,Water,Water,Water,Water
230,NULL,Water,Water,Water,Water,Forest
231,NULL,Water,Forest,NULL,Non_Wetland,Grassland
232,NULL,Water,Forest,NULL,Non_Wetland,Bareland
233,NULL,Water,Forest,NULL,Non_Wetland,Water
234,NULL,Water,Forest,NULL,Non_Wetland,Forest
235,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
236,NULL,Water,Forest,Non_Water,Non_Wetland,Water
237,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
238,NULL,Water,Forest,Water,Non_Wetland,Grassland
239,NULL,Water,Forest,Water,Non_Wetland,Bareland
240,NULL,Water,Forest,Water,Non_Wetland,Built-up
241,NULL,Water,Forest,Water,Non_Wetland,Water
242,NULL,Water,Forest,Water,Non_Wetland,Forest
243,NULL,Forest,NULL,NULL,Non_Wetland,Forest
244,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
245,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
246,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
247,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
248,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
249,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland
250,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
251,NULL,Forest,Shrubland,Water,Non_Wetland,Water
252,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
253,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
254,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
255,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
256,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
257,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
258,NULL,Forest,Cropland,Water,Non_Wetland,Water
259,NULL,Forest,Cropland,Water,Non_Wetland,Forest
260,NULL,Forest,Wetland,NULL,Wetland,Forest
261,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
262,NULL,Forest,Wetland,Non_Water,Wetland,Forest
263,NULL,Forest,Wetland,Water,Wetland,Bareland
264,NULL,Forest,Wetland,Water,Wetland,Water
265,NULL,Forest,Wetland,Water,Wetland,Forest
266,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
267,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
268,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
269,NULL,Forest,Bareland,Non_Water,Non_Wetland,Bareland
270,NULL,Forest,Bareland,Non_Water,Non_Wetland,Water
271,NULL,Forest,Bareland,Water,Non_Wetland,Water
272,NULL,Forest,Bareland,Water,Non_Wetland,Forest
273,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
274,NULL,Forest,Water,Non_Water,Water,Bareland
275,NULL,Forest,Water,Non_Water,Water,Forest
276,NULL,Forest,Water,Water,Water,Water
277,NULL,Forest,Forest,NULL,Non_Wetland,NULL
278,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
279,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
280,NULL,Forest,Forest,NULL,Non_Wetland,Forest
281,NULL,Forest,Forest,Non_Water,Non_Wetland,Bareland
282,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
283,NULL,Forest,Forest,Water,Non_Wetland,Water
284,NULL,Forest,Forest,Water,Non_Wetland,Forest
285,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
286,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
287,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
288,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
289,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
290,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland
291,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
292,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
293,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
294,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
295,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
296,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
297,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water
