Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KPA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KPA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KPA_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
55,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
58,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
60,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
61,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
62,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
71,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
73,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
74,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
78,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
79,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
80,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
81,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
82,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
87,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
88,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
89,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
90,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
91,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
92,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
93,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
94,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
95,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
96,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
97,NULL,NULL,Water,Water,Water,NULL,NULL,Water
98,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
104,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
105,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
106,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
107,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Built-up
109,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
111,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
112,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
114,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
115,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
116,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
118,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
119,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
120,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
121,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
126,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
127,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
128,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
130,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
131,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
133,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
134,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
135,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
136,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
138,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
140,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
141,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,NULL
142,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
143,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
144,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
145,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
147,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
148,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
149,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
150,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
151,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
153,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
155,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
156,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
157,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
158,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
159,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
160,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
161,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
163,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,NULL
164,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
165,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
167,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,NULL
169,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
170,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
172,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
173,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
174,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
176,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
177,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
178,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
180,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
181,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
183,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
184,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
185,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
187,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
188,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
189,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
190,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
191,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
192,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
193,NULL,Cropland,Water,Water,Water,NULL,NULL,Bareland
194,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
195,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
196,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
198,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
199,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
200,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
203,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
204,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
205,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
206,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
211,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
213,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
214,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
216,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
217,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
218,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
219,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
220,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
222,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
223,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
224,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
226,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
227,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
228,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
229,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
231,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
232,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
233,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
234,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
235,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
236,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Water
237,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
238,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
240,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
241,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
242,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
243,NULL,Built-up,Water,NULL,Water,NULL,NULL,NULL
244,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
245,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
246,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
247,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
248,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
249,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
250,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
251,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
252,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
253,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
254,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
255,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
256,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
257,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
258,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
259,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
260,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
262,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
263,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
265,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
266,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
267,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
268,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
269,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
270,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
271,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
272,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
273,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
274,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
275,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
276,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
277,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
278,NULL,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Forest
279,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
280,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
281,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
282,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
283,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
284,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
285,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
286,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
287,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
288,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
289,NULL,Forest,Water,NULL,Water,NULL,NULL,NULL
290,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
291,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
292,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
294,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
295,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
296,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
297,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
298,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
299,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
300,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
301,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
302,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
303,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
304,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
305,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
306,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
307,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
308,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
309,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
310,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
311,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
312,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
313,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
314,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
315,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
316,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
317,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
318,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
319,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
320,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
321,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
322,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
323,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
324,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
325,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
326,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
327,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
328,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
329,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
330,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
331,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
332,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
333,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
334,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
