Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDQ_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
2,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
3,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
4,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
5,NULL,Water,Grassland,Water,Non_Wetland,Bareland,Water,Water
6,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Water
7,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
8,NULL,Water,Wetland,NULL,Wetland,Water,Water,Bareland
9,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
10,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
11,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
12,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
13,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
14,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
15,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
16,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
17,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Water
18,NULL,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
19,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
20,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Wetland,Water
21,NULL,Water,Water,NULL,Water,Bareland,Water,Water
22,NULL,Water,Water,NULL,Water,Water,Water,Water
23,NULL,Water,Water,NULL,Water,Water,Water,Forest
24,NULL,Water,Water,Non_Water,Water,Bareland,Water,Water
25,NULL,Water,Water,Non_Water,Water,Water,Water,Water
26,NULL,Water,Water,Water,Water,Bareland,Water,Water
27,NULL,Water,Water,Water,Water,Water,Wetland,Water
28,NULL,Water,Water,Water,Water,Water,Water,Water
29,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
30,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Water
31,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Water
32,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
33,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
34,NULL,Forest,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
35,NULL,Forest,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
36,NULL,Forest,Wetland,Water,Wetland,Water,Water,Water
37,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
38,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
39,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
40,NULL,Forest,Water,Non_Water,Water,Water,Wetland,Water
41,NULL,Forest,Water,Water,Water,Water,Wetland,Grassland
42,NULL,Forest,Water,Water,Water,Water,Wetland,Bareland
43,NULL,Forest,Water,Water,Water,Water,Water,Water
44,NULL,Forest,Water,Water,Water,Water,Water,Forest
45,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
46,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
47,NULL,Forest,Forest,NULL,Non_Wetland,Water,Water,Water
48,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
49,Grassland,Water,Water,Water,Water,Water,Water,Water
50,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Water
51,Cropland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
52,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
53,Cropland,Water,Water,Water,Water,Bareland,Water,Water
54,Cropland,Water,Water,Water,Water,Water,Water,Water
55,Cropland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
56,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
57,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Water
58,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
59,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
60,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
61,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
62,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland,Water,Bareland
63,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland,Water,Water
64,Bareland,Bareland,Water,NULL,Water,Water,Water,Water
65,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Water
66,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
67,Bareland,Bareland,Water,Water,Water,Water,Water,Water
68,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Water,Bareland
69,Bareland,Bareland,Forest,Water,Non_Wetland,Water,Water,Water
70,Bareland,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
71,Bareland,Water,NULL,Water,Non_Wetland,Water,Water,Water
72,Bareland,Water,NULL,Water,Non_Wetland,Water,Water,Forest
73,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
74,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
75,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
76,Bareland,Water,Grassland,Non_Water,Non_Wetland,Bareland,Water,Water
77,Bareland,Water,Cropland,NULL,Non_Wetland,Water,Water,Water
78,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
79,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
80,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
81,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
82,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
83,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
84,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
