Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLT_M_R
33,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
45,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
48,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
49,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
50,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
51,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
52,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
53,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
54,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
55,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
56,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
57,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Wetland,Grassland
58,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Water,Grassland
59,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
60,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
91,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
93,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
94,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
95,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
96,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
98,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
99,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
100,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
102,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
103,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
104,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
105,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Wetland,Grassland
106,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Bareland,Grassland
107,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
108,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
109,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
113,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
115,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
116,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
117,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
119,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
121,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
123,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
127,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
131,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
135,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
138,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
139,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
140,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
141,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
142,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
143,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
144,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
145,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
146,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
147,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Bareland,Grassland
148,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Grassland
149,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
150,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
151,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
152,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Wetland,Grassland
153,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Bareland,Grassland
154,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
155,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
157,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
158,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
159,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
160,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
161,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
162,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
163,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
164,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
165,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
166,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
167,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
168,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
169,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
170,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
171,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
172,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
173,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
174,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
175,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
176,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
177,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
178,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
179,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
180,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
181,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
182,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
183,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
184,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
185,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
186,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
187,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
188,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
189,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
190,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
191,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
192,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
193,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
194,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Forest
195,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
196,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
197,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
198,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Forest
199,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
200,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
201,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Wetland,Grassland
202,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Bareland,Grassland
203,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Built-up,Grassland
204,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Water,Grassland
205,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Grassland
206,NULL,NULL,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
207,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
208,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
209,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
210,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
211,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
212,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
213,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
214,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
215,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
216,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
217,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
218,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
219,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
220,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
221,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
222,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
223,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
224,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
225,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
226,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
227,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
228,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
229,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
230,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
231,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
232,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
233,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
234,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
235,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
236,NULL,NULL,Wetland,NULL,Wetland,Built-up,Grassland,Grassland
237,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
238,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
239,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
240,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
241,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
242,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
243,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
244,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
245,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
246,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
247,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
248,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
249,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
250,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
251,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Water
252,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
253,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
254,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
255,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
256,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Forest
257,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
258,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
259,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
260,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
261,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
262,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
263,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
264,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
265,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Forest
266,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
267,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
268,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
269,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
270,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
271,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
272,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
273,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
274,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
275,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
276,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
277,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
278,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
279,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
280,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
281,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
282,NULL,NULL,Wetland,Water,Wetland,Built-up,Wetland,Grassland
283,NULL,NULL,Wetland,Water,Wetland,Built-up,Bareland,Grassland
284,NULL,NULL,Wetland,Water,Wetland,Built-up,Water,Grassland
285,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
286,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
287,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
288,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
289,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
290,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
291,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
292,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
293,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
294,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Water,Grassland
295,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
296,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
297,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
298,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
299,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Wetland
300,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
301,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
302,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
303,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
304,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
305,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
306,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
307,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
308,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
309,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
310,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Grassland
311,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
312,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
313,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
314,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
315,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
316,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
317,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
318,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
319,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
320,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
321,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
322,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
323,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
324,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
325,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
326,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
327,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
328,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Built-up
329,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
330,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
331,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
