Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MEV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
42,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
43,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
44,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
45,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
