Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NXH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NXH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NXH_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
16,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
17,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
20,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
21,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
22,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
23,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
24,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
25,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
27,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
29,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
31,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
33,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
34,NULL,NULL,Water,Water,Water,NULL,NULL,Water
35,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
44,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
46,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
47,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
48,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
51,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
53,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
54,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
57,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
58,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
62,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
63,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
64,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
65,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
66,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
69,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
70,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
72,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
73,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
74,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
75,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
77,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
78,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
80,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
81,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
82,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
83,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
84,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
87,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
89,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
91,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
92,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
93,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
94,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
96,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
98,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
99,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
102,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
104,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
105,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
107,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
108,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
109,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
110,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
111,NULL,Water,Water,Water,Water,NULL,NULL,Water
112,NULL,Water,Water,Water,Water,NULL,NULL,Forest
113,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
