Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NNP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL
10,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland
12,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL
28,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
