Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
15,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
17,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
19,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
23,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
24,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
25,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
26,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
27,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
28,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
29,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
30,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
31,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
32,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
33,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
35,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
37,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
41,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
46,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
47,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,NULL
