Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LZK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
78,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Wetland,Grassland
81,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
84,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
