Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTJ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Cropland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Built-up
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Cropland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
257,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
259,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
260,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
261,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
262,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
263,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
264,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
265,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
266,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
267,NULL,NULL,NULL,Water,Non_Wetland,NULL,Built-up,Grassland
268,NULL,NULL,NULL,Water,Non_Wetland,NULL,Built-up,Wetland
269,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
271,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
272,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
273,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
275,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
276,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Cropland
278,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
279,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
282,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
283,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
284,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
285,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Cropland
287,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Bareland
288,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Water
289,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Forest
290,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
291,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
292,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
293,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
294,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
295,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
296,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
297,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Built-up,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Built-up,Cropland
299,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Cropland
301,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Bareland
302,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
303,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Cropland
304,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
305,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
306,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
307,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
308,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Built-up,Grassland
309,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
310,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Cropland
311,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
312,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
313,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
314,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Cropland
315,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
317,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Grassland
318,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
331,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
