Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PNR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PNR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PNR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PNR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PNR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PNR_M_R
121,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
122,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
123,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
124,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
125,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
126,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
127,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
128,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
129,NULL,Cropland,Wetland,NULL,Wetland,Grassland
130,NULL,Cropland,Wetland,NULL,Wetland,Wetland
131,NULL,Cropland,Wetland,NULL,Wetland,Forest
132,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
133,NULL,Cropland,Wetland,Water,Wetland,Wetland
134,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
135,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
136,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
137,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
138,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland
139,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
140,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
141,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
