Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LGN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,NULL
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
280,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Water
283,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
284,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
286,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
288,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
290,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
291,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
292,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
294,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
295,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
296,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
297,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
299,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
301,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
302,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
303,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Wetland
304,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
305,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Forest
306,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
307,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
308,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
309,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
310,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
311,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
312,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
313,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
314,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Wetland
315,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
317,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
318,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
319,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
320,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
