Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MFE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MFE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,NULL
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
48,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
49,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
50,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
51,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
52,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
53,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
54,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
55,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
56,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,NULL
57,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
58,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,NULL
59,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
60,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
61,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
62,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,NULL
63,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
64,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
65,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
66,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
67,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
68,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,NULL
69,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
70,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
71,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,NULL
72,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
73,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,NULL
74,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
75,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,NULL
76,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
77,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,NULL
78,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
79,NULL,NULL,Wetland,NULL,NULL,Wetland,Wetland,NULL
80,NULL,NULL,Wetland,NULL,NULL,Wetland,Water,NULL
81,NULL,NULL,Wetland,NULL,NULL,Bareland,Wetland,NULL
82,NULL,NULL,Wetland,NULL,NULL,Bareland,Water,NULL
83,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
84,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
85,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,NULL
