Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPH_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Wetland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Cropland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Cropland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Wetland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Cropland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Cropland
