Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LYN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LYN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LYN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LYN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LYN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LYN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
100,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
102,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Wetland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
122,NULL,NULL,NULL,Water,Non_Wetland,NULL,Built-up,Wetland
123,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
124,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Wetland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Wetland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Wetland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Wetland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Wetland
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Wetland
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Wetland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Wetland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Wetland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Wetland
234,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
235,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Built-up,Grassland
236,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Built-up,Wetland
237,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Forest
238,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Built-up,Grassland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Built-up,Wetland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
241,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
242,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Built-up,Wetland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
244,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Built-up,Wetland
245,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
246,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
248,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
249,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
250,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
252,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Wetland
254,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Bareland
255,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
256,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
258,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
259,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Bareland
261,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
262,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
264,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water,Grassland
265,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
266,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
271,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
272,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
274,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
275,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
279,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
283,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Wetland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Wetland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
292,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
294,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Forest
295,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
297,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
298,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
300,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
301,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
302,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
304,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
305,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
306,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
307,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
308,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
309,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
310,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
311,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
312,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
313,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
314,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
315,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
316,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
317,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
318,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
319,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
320,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
321,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
322,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
323,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Wetland
