Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LDL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
31,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
32,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
33,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
34,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
41,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
46,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
47,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
49,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
50,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
51,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
52,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
