Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LFP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Wetland
230,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
231,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
233,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,NULL
235,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
236,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
237,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
238,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
239,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Water
240,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
241,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
242,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
243,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
244,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
245,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
246,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
247,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
248,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
249,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
250,NULL,NULL,NULL,Water,Non_Wetland,Forest,Wetland,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
