Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LRK_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Cropland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Built-up
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Bareland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,Cropland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Bareland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Bareland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Built-up,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
287,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
289,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
290,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
291,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
292,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
293,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
294,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
295,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
296,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
297,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
299,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
300,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
301,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
302,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
303,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
304,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
305,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Cropland
306,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
307,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Bareland
308,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
309,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
310,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
311,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
312,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
313,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Bareland
314,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
315,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
316,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
317,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Cropland
318,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
319,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
320,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
321,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
322,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
323,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
324,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
325,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
326,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
327,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
328,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
329,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Grassland
