Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MQQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
164,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
165,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
199,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
203,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
204,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
205,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
206,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
208,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
209,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
210,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
211,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
213,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
214,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
215,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
216,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
217,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
218,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
219,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
220,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
221,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
222,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
223,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
224,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
227,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
228,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
229,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
230,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
231,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Cropland
232,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
233,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
234,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
235,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
236,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
237,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
238,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,NULL
239,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
240,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
241,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
242,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
243,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
244,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
245,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
246,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
247,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
248,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
249,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
250,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
251,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
252,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
253,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
254,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
255,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
256,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
257,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
258,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
259,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
260,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
261,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
262,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
263,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
264,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
265,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
266,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
267,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
268,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
269,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
270,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
271,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
272,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
273,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
274,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
275,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
276,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
280,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
283,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
284,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Cropland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Built-up,Grassland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,NULL
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
