Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LLH_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
56,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
64,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
70,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
71,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
72,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
74,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
75,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
76,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
77,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
79,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
80,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
81,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
82,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
83,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
84,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
86,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
87,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
88,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
89,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
90,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
91,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
92,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
93,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
94,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
95,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
96,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
97,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
98,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
99,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
102,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
104,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
105,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
106,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
108,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
109,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
110,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
112,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
113,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
114,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
115,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
117,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
118,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
119,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
120,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
122,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
123,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
124,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
127,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
128,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
130,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
131,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
132,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
133,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
134,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
135,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
136,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
137,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
138,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
139,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
140,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
141,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
142,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
143,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
144,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
145,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
146,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
147,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
148,NULL,NULL,Water,Water,Water,NULL,NULL,Water
149,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
150,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
151,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
152,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
153,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
154,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
155,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
156,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
157,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
159,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
160,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
161,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
162,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
163,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
164,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
165,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
166,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
168,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
169,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
170,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
171,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
172,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
173,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
174,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
175,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
176,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
178,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
180,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
181,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
182,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
183,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
185,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
186,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
187,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
189,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
190,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
191,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
193,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
194,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
195,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
196,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
197,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
198,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
199,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
201,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
202,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
203,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
204,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
205,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
206,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
207,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
208,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
209,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
210,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
211,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
212,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
213,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
215,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
216,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
217,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
218,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
219,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
220,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
221,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
222,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
223,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
224,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
225,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
227,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
228,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
229,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
230,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
231,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
232,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
233,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
234,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
235,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
236,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
237,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
238,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
239,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
240,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
241,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
242,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
243,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
244,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
245,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
247,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
248,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
249,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
250,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
251,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
252,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
253,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
254,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
255,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
256,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
257,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
259,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
260,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
261,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
262,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
263,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
264,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Cropland
265,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
266,NULL,Cropland,Water,Water,Water,NULL,NULL,Cropland
267,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
268,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
269,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
270,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
271,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
272,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
273,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
274,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
275,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
277,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
278,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
279,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
280,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
281,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
282,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
283,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
284,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
285,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
286,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
287,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
288,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
289,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
290,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
291,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
292,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
293,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
294,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
295,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
297,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
298,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
299,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
300,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
301,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
302,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
303,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
304,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
305,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
306,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
307,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
308,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
309,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
310,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
311,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
312,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
313,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
314,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Cropland
315,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
316,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
317,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
318,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
319,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
320,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
321,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
322,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,NULL
323,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
324,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Cropland
325,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
326,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
327,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
328,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
329,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
330,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
331,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
332,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
333,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
334,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,NULL
335,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
336,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
337,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
338,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
339,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
340,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
341,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
