Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KER_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KER_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KER_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KER_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KER_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KER_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KER_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KER_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
25,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
