Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MYN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
42,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
43,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
