Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NYF_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
56,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
59,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
63,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
64,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
67,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
68,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
69,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
70,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
71,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
72,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
73,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
74,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
75,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
83,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
88,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
92,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
94,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
96,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
97,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
98,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
99,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
100,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
101,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
102,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
103,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
104,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
105,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
106,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
107,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
108,NULL,NULL,Water,Water,Water,NULL,NULL,Built-up
109,NULL,NULL,Water,Water,Water,NULL,NULL,Water
110,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
111,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
112,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
116,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
117,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
119,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
120,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
121,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
122,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
123,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
124,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
125,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
126,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
127,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
128,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
130,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
136,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
140,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
141,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
143,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
144,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
145,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
146,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
148,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
149,NULL,Cropland,Water,Water,Water,NULL,NULL,Bareland
150,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
151,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
152,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
154,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
156,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
157,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
158,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
159,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
160,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
162,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
163,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
164,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
165,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
166,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Water
167,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Forest
168,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
171,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
172,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
173,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
176,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
177,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
178,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
180,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
181,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
182,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
183,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
184,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
186,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
189,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
190,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
191,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
193,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
194,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
195,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
196,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
197,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
198,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
199,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
200,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
201,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
202,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
203,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
204,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
205,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
206,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
207,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
208,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
209,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Water
210,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
211,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
213,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
214,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
215,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
216,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
217,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
219,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Forest
220,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
221,NULL,Wetland,Water,NULL,Water,NULL,NULL,Bareland
222,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
223,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
224,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
225,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
226,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
227,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
228,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
229,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
230,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
231,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
232,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
233,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
234,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
236,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
237,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
238,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
240,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
241,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
242,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
244,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
245,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
246,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
247,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
248,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
249,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
250,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
251,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
252,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
253,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
254,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
255,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
256,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
257,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
258,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
259,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
260,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
261,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
262,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
264,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
265,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
266,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
267,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
268,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
269,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
270,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
271,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
272,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
273,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
274,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
275,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
276,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
277,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
278,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
279,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
280,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
281,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
282,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
283,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
284,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
285,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
286,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
287,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
288,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
289,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
290,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
291,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
292,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
293,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
294,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
295,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
296,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
297,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
298,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
299,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
300,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
301,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
302,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
303,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
304,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
305,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
306,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
307,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
308,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
309,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Forest
310,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
311,NULL,Bareland,Water,NULL,Water,NULL,NULL,Wetland
312,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
313,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
314,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
315,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
316,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
317,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Built-up
318,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
319,NULL,Bareland,Water,Water,Water,NULL,NULL,Wetland
320,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
321,NULL,Bareland,Water,Water,Water,NULL,NULL,Built-up
322,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
323,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
324,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
325,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
326,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
327,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
328,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
329,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
330,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
331,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
332,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
333,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
334,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
335,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
336,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
337,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
338,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
339,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
340,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
341,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
342,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
343,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
344,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
