Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MUB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Built-up
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Wetland
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Wetland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Forest
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Cropland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Built-up
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,NULL
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Built-up
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,Grassland
328,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
