Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MUS_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Cropland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Wetland
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
322,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
323,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
324,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
325,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
326,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
327,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
328,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
