Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFU_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
127,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
128,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
130,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
144,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Built-up
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Built-up,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Cropland
318,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
319,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
320,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
321,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
322,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
323,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
