Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KVA_M_R
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
74,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Wetland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Water,Forest
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Wetland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Wetland
102,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
103,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
104,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
105,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
106,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
107,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Water
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Wetland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Wetland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Wetland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Wetland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Wetland
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Water
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Wetland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Wetland
234,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
235,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
236,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
237,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
238,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
241,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
242,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
244,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
245,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
247,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
249,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Wetland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
252,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
257,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Wetland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
270,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Wetland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
272,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Wetland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
274,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
275,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
276,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Wetland
277,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
278,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Wetland
279,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Wetland
280,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Wetland
281,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
282,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
284,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
285,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
286,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
287,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
290,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
291,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
294,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,Wetland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Wetland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
300,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
302,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
304,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
305,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
308,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
309,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
310,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
311,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
313,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
314,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
315,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
316,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
318,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
319,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
320,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
