Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KDG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
208,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
209,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
210,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
211,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
212,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
213,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
214,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
215,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
216,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
217,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
218,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
219,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
220,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
221,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
222,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Forest
223,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
