Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MKU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
28,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
