Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NVH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Cropland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
9,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
10,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Cropland
11,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
12,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
16,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
17,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Cropland
18,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
19,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
20,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
21,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Cropland
22,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland
23,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water
24,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL
25,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
26,NULL,NULL,Wetland,NULL,Wetland,NULL,Cropland
27,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
28,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
29,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
30,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
31,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
32,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water
33,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
34,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
35,NULL,NULL,Wetland,Water,Wetland,NULL,Water
36,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
37,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland
38,NULL,NULL,Water,NULL,Water,NULL,Grassland
39,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
40,NULL,NULL,Water,Non_Water,Water,NULL,Water
41,NULL,NULL,Water,Water,Water,NULL,Grassland
42,NULL,NULL,Water,Water,Water,NULL,Wetland
43,NULL,NULL,Water,Water,Water,NULL,Water
44,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
45,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
46,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Cropland
47,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
48,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
49,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
50,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
51,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Cropland
52,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
53,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
54,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
55,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
56,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland
57,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland
58,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland
59,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Wetland
60,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
61,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Cropland
62,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland
63,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland
64,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up
65,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
67,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
68,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Cropland
69,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
70,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
71,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Water
72,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Grassland
73,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Cropland
74,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Wetland
75,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Bareland
76,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Water
77,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
78,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Cropland
79,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Wetland
80,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
81,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,Wetland
82,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
83,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Cropland
84,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Wetland
85,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland
86,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up
87,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Water
88,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
89,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
90,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Cropland
91,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Wetland
92,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Grassland
93,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Cropland
94,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Wetland
95,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Water
96,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL
97,NULL,Cropland,Wetland,NULL,Wetland,NULL,Grassland
98,NULL,Cropland,Wetland,NULL,Wetland,NULL,Cropland
99,NULL,Cropland,Wetland,NULL,Wetland,NULL,Wetland
100,NULL,Cropland,Wetland,NULL,Wetland,NULL,Built-up
101,NULL,Cropland,Wetland,NULL,Wetland,NULL,Water
102,NULL,Cropland,Wetland,NULL,Wetland,NULL,Forest
103,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland
104,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Wetland
105,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Water
106,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Forest
107,NULL,Cropland,Wetland,Water,Wetland,NULL,Grassland
108,NULL,Cropland,Wetland,Water,Wetland,NULL,Wetland
109,NULL,Cropland,Wetland,Water,Wetland,NULL,Water
110,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland
111,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Cropland
112,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Wetland
113,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland
114,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up
115,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Water
116,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Forest
117,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,Grassland
118,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,Cropland
119,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,Bareland
120,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,Water
121,NULL,Cropland,Water,NULL,Water,NULL,Wetland
122,NULL,Cropland,Water,NULL,Water,NULL,Water
123,NULL,Cropland,Water,Non_Water,Water,NULL,Wetland
124,NULL,Cropland,Water,Water,Water,NULL,Wetland
125,NULL,Cropland,Water,Water,Water,NULL,Water
126,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
127,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Cropland
128,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland
129,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland
130,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Built-up
131,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Water
132,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
133,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Grassland
134,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Cropland
135,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Wetland
136,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Forest
137,NULL,Cropland,Forest,Water,Non_Wetland,NULL,Grassland
138,NULL,Cropland,Forest,Water,Non_Wetland,NULL,Cropland
139,NULL,Cropland,Forest,Water,Non_Wetland,NULL,Wetland
140,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
141,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland
142,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
143,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Wetland
144,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland
145,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland
146,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
147,NULL,Wetland,Wetland,Water,Wetland,NULL,Wetland
148,NULL,Wetland,Wetland,Water,Wetland,NULL,Water
149,NULL,Wetland,Water,Non_Water,Water,NULL,Wetland
150,NULL,Wetland,Water,Water,Water,NULL,Water
151,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
152,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
153,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Grassland
154,NULL,Bareland,Wetland,NULL,Wetland,NULL,Grassland
155,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland
156,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Wetland
157,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland
158,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up
159,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Water
160,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest
161,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Grassland
162,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
163,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Cropland
164,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland
165,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
166,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
167,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
169,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
170,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Cropland
171,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
172,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
173,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Built-up
174,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Water
175,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Forest
176,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Grassland
177,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Wetland
178,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Bareland
179,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Water
180,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
181,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Cropland
